CNT,CNTSCHID,CNTSTUID,RTML_mean,ESCS,ST011Q01TA,ST004D01T,ST001D01T,RATCMP1,RATCMP2,EDUSHORT
NOR,57800090.0,57800200.0,606.8237000000001,-0.1684,1.0,1.0,10.0,1.0,1.0,0.4997
NOR,57800186.0,57800202.0,413.0051,-1.2635,1.0,2.0,10.0,1.2081,1.0,-1.4212
NOR,57800193.0,57800203.0,612.0175,0.3521,1.0,1.0,10.0,1.497,1.0,-0.4873
NOR,57800211.0,57800204.0,582.5885999999999,1.1697,1.0,2.0,10.0,1.0,1.0,-0.6483
NOR,57800150.0,57800205.0,550.2505,0.9286,1.0,1.0,10.0,1.0,1.0,0.2986
NOR,57800129.0,57800206.0,477.6127,-1.3456,1.0,1.0,10.0,0.4854,1.0,-1.4212
NOR,57800118.0,57800208.0,607.8137,0.2014,1.0,1.0,10.0,1.0,1.0,-0.0672
NOR,57800173.0,57800210.0,587.9093999999999,1.6273,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800207.0,57800211.0,559.0624,0.9204,1.0,1.0,10.0,1.0,1.0,0.8339
NOR,57800121.0,57800212.0,697.1886999999999,0.835,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800211.0,57800213.0,580.345,1.3879,1.0,1.0,10.0,1.0,1.0,-0.6483
NOR,57800248.0,57800214.0,538.5788,0.6897,1.0,1.0,10.0,1.2195,1.0,-0.2376
NOR,57800103.0,57800216.0,561.8547,1.489,1.0,2.0,10.0,1.0,1.0,-1.4212
NOR,57800178.0,57800219.0,458.0356,0.7684,1.0,2.0,10.0,1.0,1.0,-0.4526
NOR,57800113.0,57800221.0,616.8086000000001,0.687,1.0,1.0,10.0,1.3158,1.0,0.4292
NOR,57800014.0,57800222.0,493.36799999999994,0.1354,1.0,2.0,10.0,1.0,1.0,-0.9432
NOR,57800069.0,57800225.0,524.6878,0.6017,1.0,1.0,10.0,1.0,1.0,-0.6483
NOR,57800190.0,57800226.0,728.519,1.213,1.0,1.0,10.0,1.6667,1.0,-0.2376
NOR,57800086.0,57800227.0,697.9171,1.1726,1.0,2.0,10.0,0.3896,1.0,0.6635
NOR,57800030.0,57800228.0,634.5772,0.4289,1.0,1.0,10.0,1.4935,1.0,0.4292
NOR,57800095.0,57800229.0,575.2935,0.8527,1.0,1.0,10.0,0.6,1.0,0.1
NOR,57800238.0,57800230.0,588.1913,-0.4063,1.0,1.0,10.0,0.3614,1.0,0.4591
NOR,57800048.0,57800231.0,591.0130999999999,0.1526,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800188.0,57800232.0,258.52389999999997,1.9702,1.0,2.0,10.0,10.7222,0.0933,0.265
NOR,57800132.0,57800233.0,631.8362,0.9533,1.0,2.0,10.0,1.0,1.0,0.7889
NOR,57800007.0,57800234.0,507.00469999999996,1.1853,1.0,1.0,10.0,1.0,1.0,-0.2376
NOR,57800096.0,57800235.0,421.4,1.189,1.0,1.0,10.0,0.431,1.0,0.2986
NOR,57800155.0,57800236.0,495.66140000000007,-0.9649,1.0,1.0,10.0,0.7921,1.0,-1.4212
NOR,57800056.0,57800237.0,581.0584000000001,1.4857,1.0,1.0,10.0,,1.0,1.2478
NOR,57800035.0,57800238.0,628.4691,0.3169,1.0,1.0,10.0,1.0,1.0,0.7889
NOR,57800081.0,57800239.0,603.7144000000001,0.4448,1.0,2.0,10.0,,,
NOR,57800165.0,57800240.0,687.3965999999999,1.0381,1.0,1.0,10.0,1.0056,1.0,-1.4212
NOR,57800251.0,57800241.0,594.6990999999999,0.2432,1.0,1.0,10.0,0.9346,0.8,0.1312
NOR,57800191.0,57800242.0,570.5654,1.073,1.0,1.0,10.0,0.8163,1.0,0.1312
NOR,57800187.0,57800243.0,496.1647000000001,1.6565,1.0,1.0,10.0,1.0,1.0,0.1
NOR,57800194.0,57800244.0,649.7603,1.2068,1.0,1.0,10.0,1.0,1.0,0.8339
NOR,57800203.0,57800245.0,409.27799999999996,0.2424,1.0,1.0,10.0,1.3333,1.0,-1.4212
NOR,57800070.0,57800246.0,523.0883,0.3738,1.0,2.0,10.0,1.0,1.0,1.2478
NOR,57800058.0,57800247.0,462.3138,0.9119,1.0,1.0,10.0,1.0,1.0,-0.949
NOR,57800021.0,57800248.0,409.28619999999995,0.3798,1.0,1.0,10.0,1.0,1.0,0.0574
NOR,57800194.0,57800250.0,530.5436,1.6226,1.0,2.0,10.0,1.0,1.0,0.8339
NOR,57800203.0,57800251.0,304.1974,0.7231,1.0,2.0,10.0,1.3333,1.0,-1.4212
NOR,57800230.0,57800253.0,596.5073,-0.3201,1.0,1.0,10.0,0.9524,1.0,1.4743
NOR,57800064.0,57800254.0,532.9111,1.2771,1.0,2.0,10.0,1.0,1.0,-0.2376
NOR,57800042.0,57800255.0,487.0553000000001,0.587,1.0,1.0,10.0,0.6034,1.0,0.4292
NOR,57800014.0,57800256.0,573.2295000000001,0.4405,1.0,2.0,10.0,1.0,1.0,-0.9432
NOR,57800223.0,57800258.0,468.2625,-0.5688,1.0,2.0,10.0,0.4478,1.0,0.8339
NOR,57800111.0,57800259.0,528.9528999999999,-0.639,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800062.0,57800260.0,516.5132,0.7813,1.0,1.0,10.0,1.0,1.0,0.1
NOR,57800048.0,57800261.0,440.0302,0.9277,1.0,2.0,10.0,1.0,1.0,-1.4212
NOR,57800111.0,57800262.0,527.3007,0.3945,1.0,1.0,10.0,1.0,1.0,0.1
NOR,57800249.0,57800263.0,664.7503,1.2645,1.0,2.0,10.0,1.2,1.0,-0.6483
NOR,57800252.0,57800264.0,611.0383,2.0942,1.0,2.0,10.0,0.5208,1.0,-1.4212
NOR,57800247.0,57800265.0,442.1211,0.7013,1.0,2.0,10.0,0.5405,1.0,0.1
NOR,57800030.0,57800266.0,472.24180000000007,-0.0203,1.0,2.0,10.0,1.4935,1.0,0.4292
NOR,57800252.0,57800267.0,561.1333999999999,1.1913,1.0,2.0,10.0,0.5208,1.0,-1.4212
NOR,57800140.0,57800268.0,607.5091,0.807,1.0,1.0,10.0,1.3333,1.0,-1.4212
NOR,57800076.0,57800269.0,566.091,1.3038,1.0,2.0,10.0,1.0,1.0,1.2002
NOR,57800136.0,57800270.0,498.3459,0.0282,1.0,2.0,10.0,0.4902,1.0,0.4997
NOR,57800219.0,57800271.0,508.00499999999994,1.2676,1.0,1.0,10.0,1.7391,1.0,0.6221
NOR,57800241.0,57800273.0,604.1349,1.1172,1.0,1.0,10.0,1.699,1.0,-0.2376
NOR,57800064.0,57800274.0,531.4983,0.4556,1.0,2.0,10.0,1.0,1.0,-0.2376
NOR,57800242.0,57800275.0,505.56450000000007,-0.3021,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800032.0,57800276.0,680.3678,0.9236,1.0,1.0,10.0,1.0,1.0,-0.6483
NOR,57800134.0,57800277.0,570.6281,1.3171,1.0,1.0,10.0,1.0,1.0,-0.0703
NOR,57800135.0,57800278.0,641.4912999999999,0.8229,1.0,2.0,10.0,4.6154,1.0,-0.6884
NOR,57800086.0,57800279.0,366.5972,-0.584,1.0,2.0,10.0,0.3896,1.0,0.6635
NOR,57800061.0,57800281.0,685.3215,0.9517,1.0,1.0,10.0,0.5042,1.0,-0.6884
NOR,57800231.0,57800283.0,594.2054,0.8251,1.0,1.0,10.0,0.3704,1.0,0.8339
NOR,57800164.0,57800284.0,477.09219999999993,-1.1755,1.0,1.0,10.0,1.2048,1.0,0.0574
NOR,57800009.0,57800285.0,312.94180000000006,0.5305,1.0,1.0,10.0,1.0,1.0,-0.9432
NOR,57800091.0,57800286.0,402.66490000000005,-0.5816,1.0,1.0,10.0,1.0,1.0,-0.6884
NOR,57800178.0,57800288.0,291.25339999999994,-1.8431,,1.0,10.0,1.0,1.0,-0.4526
NOR,57800214.0,57800289.0,511.6852,1.1102,1.0,2.0,10.0,0.5,1.0,-1.4212
NOR,57800185.0,57800291.0,506.953,-0.7081,1.0,1.0,10.0,,,-0.2805
NOR,57800157.0,57800292.0,478.78419999999994,1.3786,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800077.0,57800294.0,602.1668,-0.2663,1.0,2.0,10.0,0.431,1.0,0.0574
NOR,57800222.0,57800295.0,457.85999999999996,1.1999,1.0,2.0,10.0,0.3061,1.0,-0.2376
NOR,57800147.0,57800296.0,434.5045,-0.6262,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800166.0,57800297.0,626.9505999999999,0.2618,1.0,1.0,10.0,0.9244,1.0,0.1
